names	depth	zone	depth_layer	sample_type	isolation_source	Habitat_1	Habitat_0	Lifestyle	grouping	grouping_2	diet	diet_algae	diet_carrion	diet_sediment	site	host_species	host_order	host_Superfamily	host_family	host_genus
SRR12578303.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A4			SRP279891		
SRR12578304.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					C6			SRP279891		
SRR12578305.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					C5			SRP279891		
SRR12578306.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					C4			SRP279891		
SRR12578307	5	c	coastal seawater	Environment	Environment				Environment	Environment					C3			SRP279891		
SRR12578308.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					C2			SRP279891		
SRR12578309	5	c	coastal seawater	Environment	Environment				Environment	Environment					C1			SRP279891		
SRR12578310.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B12			SRP279891		
SRR12578311.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B11			SRP279891		
SRR12578312.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B10			SRP279891		
SRR12578313.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B9			SRP279891		
SRR12578314.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A3			SRP279891		
SRR12578315.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B8			SRP279891		
SRR12578316.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B7			SRP279891		
SRR12578317.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B6			SRP279891		
SRR12578318.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B5			SRP279891		
SRR12578319.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B4			SRP279891		
SRR12578320.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B3			SRP279891		
SRR12578321.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B2			SRP279891		
SRR12578322.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					B1			SRP279891		
SRR12578323.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A12			SRP279891		
SRR12578324.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A11			SRP279891		
SRR12578325.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A2			SRP279891		
SRR12578326.sra	5	c	coastal seawater	Environment	Environment				Environment	Environment					A1			SRP279891		
